DateRepConf,HealthStatus,Count
2021-04-13,RECOVERED,8360
2021-02-09,RECOVERED,1202
2021-04-08,DIED,141
2020-12-08,RECOVERED,1373
2021-03-12,RECOVERED,4498
2021-04-17,RECOVERED,10887
2021-02-04,RECOVERED,1550
2020-09-22,RECOVERED,1558
2021-07-14,RECOVERED,3717
2021-04-30,RECOVERED,8577
2021-05-19,RECOVERED,4567
2021-06-27,RECOVERED,5977
2021-04-14,RECOVERED,7942
2021-05-21,RECOVERED,6116
2020-09-01,RECOVERED,3356
2021-05-24,RECOVERED,4878
2021-05-26,RECOVERED,5188
2020-09-14,RECOVERED,4623
2020-10-11,RECOVERED,2389
2021-07-10,RECOVERED,5562
2021-02-12,RECOVERED,1978
2021-08-07,RECOVERED,9089
2021-03-21,RECOVERED,7605
2021-02-22,RECOVERED,2249
2020-10-01,RECOVERED,2280
2020-11-07,RECOVERED,2081
2021-03-24,RECOVERED,6523
2021-03-19,RECOVERED,6972
2020-10-02,RECOVERED,2486
2021-02-05,RECOVERED,1853
2021-05-18,RECOVERED,4379
2021-07-06,RECOVERED,3998
2021-03-15,RECOVERED,5308
2021-05-30,RECOVERED,6913
2021-02-03,RECOVERED,1229
2021-03-18,RECOVERED,5183
2021-05-20,RECOVERED,5950
2020-08-17,RECOVERED,3168
2020-10-21,RECOVERED,1446
2021-05-11,RECOVERED,4628
2020-09-24,RECOVERED,2086
2020-10-10,RECOVERED,2164
2021-01-02,RECOVERED,1063
2020-07-08,RECOVERED,2257
2021-04-22,RECOVERED,8613
2021-03-06,RECOVERED,3373
2021-05-23,RECOVERED,3005
2021-05-01,RECOVERED,9041
2021-04-28,RECOVERED,6740
2020-11-21,RECOVERED,1739
2021-05-08,DIED,122
2020-11-02,RECOVERED,2225
2021-02-23,RECOVERED,1371
2020-10-03,RECOVERED,2533
2020-11-29,RECOVERED,2042
2020-09-16,RECOVERED,3420
2020-10-13,DIED,28
2020-11-03,RECOVERED,1710
2021-06-23,RECOVERED,4256
2021-07-04,RECOVERED,5849
2021-01-27,RECOVERED,2176
2021-03-13,RECOVERED,4919
2021-08-16,RECOVERED,96
2021-01-22,RECOVERED,2134
2020-12-25,RECOVERED,1840
